,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
241,https://www.chessable.com/1001-checkmate-exercises-from-beginner-to-winner/course/21900/,1001 Checkmate Exercises: From Beginner to Winner,MoveTrainer™ Tactics course,SamCicero (2200 (best) Online Rating),€16.95,€16.95,4.5,17,13,both pieces,1.0,1.0,1.0,0.0,0.0,English,"2,200",,1401,1.18,"Aug 28, 2019",Community,🌎 Community
242,https://www.chessable.com/chess-tests/course/35171/,Chess Tests,MoveTrainer™ Tactics course,Russell Enterprises,€25.95,€17.95,,,8,both pieces,0.0,0.0,1.0,1.0,1.0,,"65,863",,226,6.89,"Jul 27, 2020",Community,📚 Publisher
243,https://www.chessable.com/the-complete-open-sicilian-for-white-vol-1/course/40869/,The Complete Open Sicilian for White - Vol. 1,MoveTrainer™ Opening course,"NM mn79 (2215 USCF, 2115 FIDE)",€25.99,€17.99,,,0,white pieces,0.0,0.0,1.0,1.0,1.0,,"42,023",,252,14.67,"Jul 29, 2020",High,🎓 Titled player
244,https://www.chessable.com/thematic-tactics-the-slow-italian-game/course/15617/,Thematic Tactics: The Slow Italian Game,MoveTrainer™ Tactics course,FM Martin Voigt & IM Dirk Sebastian (2452 FIDE),€17.75,€17.75,4.5,23,130,both pieces,0.0,1.0,1.0,1.0,1.0,English,"12,286",,410,3.05,"Oct 31, 2018",High,🎓 Titled player
245,https://www.chessable.com/1e4-a-comprehensive-white-repertoire/course/8209/,1.e4: A Comprehensive White Repertoire,MoveTrainer™ Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE) officially endorsed",€26.99,€19.99,4.8,118,652,white pieces,0.0,1.0,1.0,1.0,0.0,English,"153,782",,1252,14.24,"May 23, 2018",High,🎓 Titled player
246,https://www.chessable.com/1001-brilliant-ways-to-checkmate-21st-century-edition/course/11887/,1001 Brilliant Ways to Checkmate: 21st-Century Edition,MoveTrainer™ Tactics course,Fred Reinfeld & Russell Enterprises,€20.99,€20.99,4.8,66,81,both pieces,1.0,1.0,1.0,1.0,0.0,English,"10,583",,1001,3.12,"May 30, 2018",Community,📚 Publisher
247,https://www.chessable.com/1001-winning-chess-sacrifices-and-combinations-21st-century-edition/course/13444/,1001 Winning Chess Sacrifices and Combinations: 21st-Century Edition,MoveTrainer™ Tactics course,Russell Enterprises,€20.99,€20.99,4.6,56,11,both pieces,0.0,1.0,1.0,1.0,0.0,English,"20,209",,987,3.34,"Jul 30, 2018",Community,📚 Publisher
248,https://www.chessable.com/mastering-mates-1-1111-one-move-mates/course/11134/,"Mastering Mates 1: 1,111 One-Move Mates",MoveTrainer™ Tactics course,Jon Edwards & Russell Enterprises,€20.99,€20.99,4.7,58,30,both pieces,1.0,1.0,1.0,0.0,0.0,English,0,,1111,35.10,"Apr 11, 2018",Community,📚 Publisher
249,https://www.chessable.com/mastering-mates-2-1111-two-move-three-move-four-move-mates/course/11135/,"Mastering Mates 2: 1,111 Two-move, Three-move & Four-move Mates",MoveTrainer™ Tactics course,Jon Edwards & Russell Enterprises,€20.99,€20.99,4.7,49,103,both pieces,1.0,1.0,1.0,0.0,0.0,English,"6,498",,1111,32.60,"Apr 13, 2018",Community,📚 Publisher
250,https://www.chessable.com/learn-chess-the-right-way-book-2-winning-material/course/12367/,Learn Chess the Right Way - Book 2: Winning Material,MoveTrainer™ Tactics course,GM Susan Polgar & Russell Enterprises,€21.00,€21.00,4.8,49,21,both pieces,1.0,1.0,0.0,0.0,0.0,English,"3,903",,500,1.58,"Jun 22, 2018",Unspecified,📚 Publisher
251,https://www.chessable.com/learn-chess-the-right-way-book-5-finding-winning-moves/course/13157/,Learn Chess The Right Way - Book 5: Finding Winning Moves!,MoveTrainer™ Tactics course,GM Susan Polgar & Russell Enterprises,€21.00,€21.00,4.5,19,0,both pieces,1.0,1.0,0.0,0.0,0.0,English,"3,513",,500,2.05,"Jul 16, 2018",Community,📚 Publisher
252,https://www.chessable.com/learn-chess-the-right-way-book-1-must-know-checkmates/course/12192/,Learn Chess the Right Way - Book 1: Must-know Checkmates,MoveTrainer™ Tactics course,GM Susan Polgar & Russell Enterprises,€21.00,€21.00,4.5,96,50,both pieces,1.0,1.0,0.0,0.0,0.0,English,"5,263",,498,1.12,"Jun 18, 2018",Community,📚 Publisher
253,https://www.chessable.com/learn-chess-the-right-way-book-3-mastering-defensive-technique/course/12774/,Learn Chess the Right Way - Book 3: Mastering Defensive Technique,MoveTrainer™ Tactics course,GM Susan Polgar & Russell Enterprises,€21.00,€21.00,4.3,49,100,both pieces,1.0,1.0,0.0,0.0,0.0,English,"3,447",,500,1.29,"Jul 02, 2018",Community,📚 Publisher
254,https://www.chessable.com/learn-chess-the-right-way-book-4-sacrifice-to-win/course/13043/,Learn Chess the Right Way - Book 4: Sacrifice to Win!,MoveTrainer™ Tactics course,GM Susan Polgar & Russell Enterprises,€21.00,€21.00,4.9,30,15,both pieces,1.0,1.0,0.0,0.0,0.0,English,"1,038",,500,2.37,"Jul 11, 2018",Community,📚 Publisher
255,https://www.chessable.com/the-checkmate-patterns-manual/course/17841/,The Checkmate Patterns Manual,MoveTrainer™ Tactics course,IM John Bartholomew & CraftyRaf,€31.99,€20.99,4.8,283,751,both pieces,0.0,1.0,1.0,1.0,0.0,English,"20,684",1 hour and 16 minutes,913,30.00,"Jul 24, 2019",High,🎓 Titled player
256,https://www.chessable.com/the-art-of-attack-in-chess/course/24575/,The Art of Attack in Chess,MoveTrainer™ Tactics/Strategy course,IM Vukovic and presented GM Simon Williams & Everyman Chess,€27.99,€21.99,4.5,84,239,both pieces,0.0,1.0,1.0,1.0,1.0,English,"125,889",2 hours and 43 minutes,217,8.95,"Jul 08, 2019",Community,📚 Publisher
257,https://www.chessable.com/chess-principles-reloaded-center/course/39556/,Chess Principles Reloaded - Center,MoveTrainer™ Strategy/Tactics course,IM ChesscoachAndras,€21.99,€64.98,4.9,26,300,both pieces,1.0,1.0,1.0,0.0,0.0,English,"16,828",35 minutes,126,4.45,"Jul 15, 2020",High,🎓 Titled player
258,https://www.chessable.com/break-the-rules-play-the-trompowsky/course/19063/,Break the Rules: Play the Trompowsky!,MoveTrainer™ Opening/Tactics course,"FM Kamil Plichta (3129 Online Rating, 2361 FIDE)",€21.99,€76.98,4.8,73,135,white pieces,0.0,1.0,1.0,1.0,1.0,English,"23,632",1 hour and 2 minutes,121,13.31,"Jan 28, 2019",High,🎓 Titled player
259,https://www.chessable.com/the-aggressive-queens-gambit-declined/course/35474/,The Aggressive Queens Gambit Declined,MoveTrainer™ Opening course,NM Bryan Tillis (2274 USCF),€31.99,€21.99,4.6,11,150,black pieces,1.0,1.0,1.0,1.0,0.0,English,"57,534",1 hour and 47 minutes,325,17.31,"Jul 20, 2020",High,🎓 Titled player
260,https://www.chessable.com/the-principled-queens-gambit-part-2/course/37576/,The Principled Queen's Gambit: Part 2,MoveTrainer™ Opening course,FM Daniel Barrish,€31.99,€21.99,4.6,27,27,white pieces,0.0,1.0,1.0,1.0,1.0,English,"148,879",1 hour and 48 minutes,388,14.67,"May 04, 2020",High,🎓 Titled player
261,https://www.chessable.com/the-principled-queens-gambit-part-1/course/35735/,The Principled Queen's Gambit: Part 1,MoveTrainer™ Opening course,FM Daniel Barrish,€31.99,€21.99,4.8,49,58,white pieces,0.0,1.0,1.0,1.0,1.0,English,"149,101",1 hour and 35 minutes,341,14.35,"Mar 30, 2020",High,🎓 Titled player
