,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
110,crush-the-gunderam-defence-1e4-e5-2-nf3-qe7/course/6142/,Crush the Gunderam Defence (1.e4 e5 2. Nf3 Qe7?!),Opening course,"VerplantePoesie (2216 Online Rating, 2027 FIDE)",0.0,,4,13,11,white pieces,0,1,1,1,0,English,438,,8,8.63,"Aug 07, 2017",Medium,Community
111,short-sweet-the-ruy-lopez/course/7167/,Short & Sweet: The Ruy Lopez,Opening course,Chessable,0.0,,4,145,120,white pieces,1,1,1,0,0,English,"4,929",,20,9.43,"Sep 11, 2017",Community,Titled player
112,ending-the-englund-gambit/course/21854/,Ending the Englund Gambit,Opening course,IndrekR (2200 Online Rating),1.99,1.99,4,17,166,both pieces,1,1,1,1,0,No language,"2,992",,21,9.83,"Jun 26, 2019",High,Community
113,the-unexpected-mate-in-1/course/19247/,The Unexpected Mate in 1,Tactics course,AlanB,5.99,3.99,4,111,166,both pieces,1,1,1,0,0,English,"5,942",,701,1.49,"Mar 06, 2019",High,Community
114,fighting-the-reti-and-kia/course/5653/,Fighting the Reti and KIA,Opening course,"PawnPusher1 (2065 USCF, 1900 FIDE)",3.25,3.25,4,9,21,black pieces,0,0,1,1,0,English,"2,627",,38,10.79,"May 10, 2017",High,Community
115,the-french-tarrasch-masterclass-edition/course/3140/,The French Tarrasch: Masterclass Edition,Opening course,"GermanMC (2044 USCF, 1850 FIDE)",3.25,3.25,4,19,36,white pieces,0,0,1,0,0,English,"2,851",,45,12.43,"Oct 01, 2016",Unspecified,Community
116,abrahams-advanced-rauzer/course/3026/,Abraham's (Advanced) Rauzer,Opening course,Mr.Abraham (2054 Online Rating),3.25,3.25,0,0,0,black pieces,0,0,1,0,0,English,"5,373",,23,19.78,"Sep 06, 2016",Unspecified,Community
117,super-scotch-game/course/469/,Super Scotch Game,Opening course,jasonrawls,3.25,3.25,4,20,14,white pieces,0,0,1,0,0,English,"2,564",,78,12.35,"Jan 29, 2018",Unspecified,Community
118,extensive-detailed-sicilian-repertoire-/course/1517/,Extensive & Detailed Sicilian Repertoire,Opening course,"Evilgenius0070 (2230 Online Rating, 2050 USCF, 2012 FIDE)",3.25,3.25,4,13,32,black pieces,0,0,1,0,0,English,"14,287",,103,12.3,"Jul 25, 2016",Unspecified,Community
119,unbalanced-the-french-exchange-for-black/course/16720/,Unbalanced: The French Exchange for Black,Opening/Tactics course,Chessinblackandwhite (2033 USCF),3.99,3.99,4,30,26,black pieces,1,1,1,0,0,English,"2,936",,30,3.62,"Dec 17, 2018",High,Community
120,chess-immortals-wilhelm-steinitz/course/23368/,Chess Immortals - Wilhelm Steinitz,Strategy course,Benedictine (135 ECF),3.99,3.99,4,12,37,both pieces,1,1,1,0,0,No language,"2,757",,31,33.62,"May 24, 2019",High,Community
121,evans-gambit-beginners-guide/course/13833/,Evans Gambit - Beginner's Guide,Opening course,NM Han Schut,4.25,4.25,4,41,46,white pieces,1,1,1,0,0,English,"1,039",,27,7.27,"Aug 15, 2018",Unspecified,Titled player
